,arterial_thromb,myocardial_infarct,pe,stroke,vte,dic
0,c0000726_abdomen,c0000768_congenital_abnormality,c0000726_abdomen,c0000737_stomach_pain,c0000731_belly_bloating,c0000726_abdomen
1,c0000768_congenital_abnormality,c0001122_acidosis,c0000737_abdominal_pain,c0000786_miscarriage,c0000737_abdominal_pain,c0000731_abdomen_distended
2,c0000820_therapeutic_abortion,c0001565_sublingual_route_of_drug_administration,c0000820_therapeutic_abortion,c0000833_abscess,c0000737_stomach_pain,c0000731_belly_bloating
3,c0000833_abscess,c0001625_adrenal_glands,c0000833_abscess,c0000970_acetaminophen,c0000820_therapeutic_abortion,c0000737_abdominal_pain
4,c0001625_adrenal_glands,c0001645_adrenergic_beta-antagonists,c0001367_acyclovir,c0001367_acyclovir,c0000833_abscess,c0000737_stomach_pain
5,c0001816_agnosia,c0001779_age,c0001625_adrenal_glands,c0001779_age,c0001816_agnosia,c0000768_congenital_abnormality
6,c0001927_albuterol,c0001792_elderly_(population_group),c0001927_albuterol,c0001816_agnosia,c0001861_air_(substance),c0000786_miscarriage
7,c0001948_alcohol_consumption,c0001807_aggressive_behavior,c0001962_ethanol,c0002940_aneurysm,c0001948_alcohol_consumption,c0000833_abscess
8,c0002144_allopurinol,c0001861_air_(substance),c0001963_methyl_alcohol,c0002940_aneurysms,c0001962_ethanol,c0001122_acidosis
9,c0002680_ampicillin,c0001927_albuterol,c0001975_alcohols,c0002949_arterial_dissection,c0001963_methyl_alcohol,"c0001125_acidosis,_lactic"
10,c0002688_amputation,c0001948_alcohol_consumption,c0002792_anaphylaxis,c0002978_angiogram,c0001975_alcohols,c0001125_lactic_acidosis
11,c0002792_anaphylaxis,c0002144_allopurinol,c0003232_antibiotics,c0003232_antibiotics,c0002680_ampicillin,c0001367_acyclovir
12,c0002878_increased_hemolysis,c0002598_amiodarone,c0003280_anticoagulants,c0003364_antihypertensive_agents,c0002792_anaphylaxis,c0001625_adrenal_glands
13,c0002940_aneurysm,c0002949_arterial_dissection,c0003364_antihypertensive_agents,c0003483_aorta,c0002871_anaemia,c0001807_aggressive_behavior
14,c0002940_aneurysms,c0002962_angina_pectoris,c0003467_anxiousness,c0003484_abdominal_aorta_structure,c0002871_anemia,c0001816_agnosia
15,c0002949_arterial_dissection,c0003075_anions,c0003629_appointments,c0003486_aortic_aneurysm,c0002940_aneurysm,c0001861_air_(substance)
16,c0002978_angiogram,c0003483_aorta,c0003838_occlusive_arterial_disease,c0003489_aortic_arch_structure,c0002940_aneurysms,c0001948_alcohol_consumption
17,c0003087_ankle_joint_structure,c0003484_abdominal_aorta_structure,c0003862_arthralgia,c0003501_aortic_valve_structure,c0002978_angiogram,c0001963_methyl_alcohol
18,c0003232_antibiotics,c0003501_aortic_valve_structure,c0003862_joint_pains,c0003504_aortic_valve_insufficiency,c0003232_antibiotics,c0001975_alcohols
19,c0003280_anticoagulants,c0003504_aortic_valve_insufficiency,c0004096_asthma,c0003504_aortic_valve_regurgitation,c0003364_antihypertensive_agents,c0002059_alkaline_phosphatase
20,c0003467_anxiousness,c0003504_aortic_valve_regurgitation,c0004144_atelectasis,c0003507_aortic_valve_stenosis,c0003467_anxiousness,c0002144_allopurinol
21,c0003483_aorta,c0003507_aortic_valve_stenosis,c0004144_pulmonary_atelectasis,c0003507_narrowing_of_aortic_valve,c0003501_aortic_valve_structure,c0002680_ampicillin
22,c0003484_abdominal_aorta_structure,c0003507_narrowing_of_aortic_valve,c0004454_axilla,c0003537_aphasia,c0003504_aortic_valve_insufficiency,c0002871_anaemia
23,c0003486_aortic_aneurysm,c0003629_appointments,c0004610_bacteremia,c0003537_losing_words,c0003507_aortic_valve_stenosis,c0002871_anemia
24,c0003489_aortic_arch_structure,c0003811_cardiac_arrhythmia,c0004659_bacteria_in_urine,c0003564_loss_of_voice,c0003507_narrowing_of_aortic_valve,c0002878_increased_hemolysis
25,c0003501_aortic_valve_structure,c0004057_aspirin,c0005367_bicarbonates,c0003811_cardiac_arrhythmia,c0003537_aphasia,c0003075_anions
26,c0003618_desire_for_food,c0004147_atenolol,c0005400_bile_duct_structure,c0004153_atherosclerosis,c0003537_losing_words,c0003232_antibiotics
27,c0003629_appointments,c0004153_narrowing_and_hardening_of_arteries,c0005615_birth,c0004153_narrowing_and_hardening_of_arteries,c0003838_occlusive_arterial_disease,c0003364_antihypertensive_agents
28,c0003838_occlusive_arterial_disease,c0004238_atrial_fibrillation,c0005632_bisacodyl,c0004238_atrial_fibrillation,c0003862_joint_pains,c0003501_aortic_valve_structure
29,c0003842_arteries,c0004259_atropine,c0005889_body_fluids,c0004268_attention,c0003962_ascites,c0003629_appointments
30,c0003862_arthralgia,c0004600_back,c0005891_body_image,c0004454_axilla,c0004144_atelectasis,c0003862_arthralgia
31,c0003862_joint_pains,c0004604_back_pain,c0006114_cerebral_edema,c0004610_bacteremia,c0004144_pulmonary_atelectasis,c0003862_joint_pains
32,c0004153_atherosclerosis,c0004704_balloon_dilatation,c0006142_malignant_neoplasm_of_breast,c0004659_bacteria_in_urine,c0004238_atrial_fibrillation,c0003962_ascites
33,c0004153_narrowing_and_hardening_of_arteries,c0004781_basal_ganglia,c0006222_bromides,c0004749_barium,c0004239_atrial_flutter,c0003964_peritoneal_fluid_(body_substance)
34,c0004239_atrial_flutter,c0005400_bile_duct_structure,c0006223_bromine,c0004781_basal_ganglia,c0004268_attention,c0004096_asthma
35,c0004610_bacteremia,c0005615_birth,c0006267_bronchiectasis,c0004811_structure_of_basilar_artery,c0004454_axilla,c0004239_atrial_flutter
36,c0005400_bile_duct_structure,c0005767_blood,c0006290_bronchoscopy,c0005632_bisacodyl,c0004659_bacteria_in_urine,c0004259_atropine
37,c0005615_birth,c0005802_blood_glucose,c0006675_calcium,c0005682_urinary_bladder,c0004704_balloon_dilatation,c0004454_axilla
38,c0005779_blood_coagulation_disorder,c0005823_blood_pressure,c0006681_calcium_carbonate,c0005823_blood_pressure,c0004749_barium,c0004600_back
39,c0005802_blood_glucose,c0005841_blood_transfusion,c0006736_calculi,c0005850_blood_volume,c0004781_basal_ganglia,c0004610_bacteremia
40,c0005841_blood_transfusion,c0005845_blood_urea_nitrogen_measurement,c0006826_cancer,c0005937_bone_cyst,c0004811_structure_of_basilar_artery,c0004749_barium
41,c0005847_blood_vessel,c0005847_blood_vessel,c0006826_malignant_neoplasms,c0006104_brain,c0005367_bicarbonates,c0005400_bile_duct_structure
42,c0005889_body_fluids,c0005889_body_fluids,c0007097_carcinoma,c0006121_brain_stem,c0005400_bile_duct_structure,c0005437_bilirubin
43,c0005891_body_image,c0005891_body_image,c0007642_cellulitis,c0006222_bromides,c0005632_bisacodyl,c0005615_birth
44,c0005903_body_temperature,c0005903_body_temperature,c0008031_thoracic_pain,c0006223_bromine,c0005682_urinary_bladder,c0005767_blood
45,c0005937_bone_cyst,c0005937_bone_cyst,c0008033_pleuritic_pain,c0006290_bronchoscopy,c0005767_blood,c0005779_blood_coagulation_disorder
46,c0006012_borderline_personality_disorder,c0005978_bone_wires,c0008059_child,c0006663_calcinosis,c0005841_blood_transfusion,c0005779_blood_coagulation_disorders
47,c0006087_structure_of_brachial_artery,c0006222_bromides,c0008318_cholecalciferol,c0006736_calculi,c0005850_blood_volume,c0005821_blood_platelets
48,c0006222_bromides,c0006223_bromine,c0008809_ciprofloxacin,c0007272_carotid_arteries,c0005889_body_fluids,c0005841_blood_transfusion
49,c0006223_bromine,c0006318_bruit,c0009014_clonidine,c0007276_internal_carotid_artery_structure,c0006104_brain,c0005845_blood_urea_nitrogen_measurement
50,c0006663_calcinosis,c0006497_buttocks,c0009074_clotrimazole,c0007282_carotid_artery_stenosis,c0006675_calcium,c0005889_body_fluids
51,c0006675_calcium,c0006663_calcinosis,c0009214_codeine,c0007282_carotid_stenosis,c0006826_cancer,c0005891_body_image
52,c0007189_cardiology_discipline,c0006675_calcium,c0009319_colitis,c0007765_cerebellum,c0007276_internal_carotid_artery_structure,c0005903_body_temperature
53,c0007559_ceftazidime,c0006681_calcium_carbonate,c0009450_communicable_diseases,c0007776_cerebral_cortex,c0007282_carotid_artery_stenosis,c0005953_bone_marrow
54,c0007569_celiac_artery,c0006736_calculi,c0009566_complication,c0007785_cerebral_infarction,c0007765_cerebellum,c0005954_bone_marrow_biopsy
55,c0007570_celiac_disease,c0006938_captopril,c0009806_constipation,c0007787_mini_stroke,c0007776_cerebral_cortex,c0006114_cerebral_edema
56,c0007642_cellulitis,c0007165_cardiac_output,c0009818_consultation,c0008325_gallbladder_inflammation,c0007785_cerebral_infarction,c0006142_malignant_neoplasm_of_breast
57,c0007776_cerebral_cortex,c0007189_cardiology_discipline,c0009924_contrast_media,c0008377_cholesterol,c0007787_mini_stroke,c0006675_calcium
58,c0007785_cerebral_infarction,c0007226_cardiovascular_system,c0009938_contusions,c0008809_ciprofloxacin,c0008059_child,c0006736_calculi
59,c0007786_brain_ischemia,c0007277_carotid_body,c0010038_reduction_of_corneal_clarity,c0009368_colon_structure_(body_structure),c0008318_cholecalciferol,c0006826_cancer
60,c0007859_neck_pain,c0007282_carotid_stenosis,c0010200_coughing,c0009676_confusion,c0008325_gallbladder_inflammation,c0007531_cecum
61,c0008318_cholecalciferol,c0007430_catheterization,c0010280_craniotomy,c0009676_disorientation,c0008350_cholelithiasis,c0007559_ceftazidime
62,c0008320_cholecystectomy_procedure,c0007559_ceftazidime,c0011065_cessation_of_life,c0009818_consultation,c0008809_ciprofloxacin,c0007561_ceftriaxone
63,c0008372_intrahepatic_cholestasis,c0007561_ceftriaxone,c0011127_bedsore,c0009924_contrast_media,c0009014_clonidine,c0007569_celiac_artery
64,c0008377_cholesterol,c0007642_cellulitis,c0011135_defecation,c0010038_reduction_of_corneal_clarity,c0009074_clotrimazole,c0007570_celiac_disease
65,c0008809_ciprofloxacin,c0007786_brain_ischemia,c0011175_dehydration,c0010682_cystine,c0009319_colitis,c0007776_cerebral_cortex
66,c0008947_clindamycin,c0008031_chest_pain,c0011206_delirium,c0011065_cessation_of_life,c0009368_colon_structure_(body_structure),c0007786_brain_ischemia
67,c0009014_clonidine,c0008031_thoracic_pain,c0011777_dexamethasone,c0011164_abnormal_degeneration,c0009566_complication,c0008034_chest_tubes
68,c0009074_clotrimazole,c0008325_gallbladder_inflammation,c0011900_diagnosis,c0011168_swallowing_difficulty,c0009676_confusion,c0008318_cholecalciferol
69,c0009319_colitis,c0008350_cholelithiasis,c0011991_diarrhea,c0011206_delirium,c0009676_disorientation,c0008325_gallbladder_inflammation
70,c0009450_communicable_diseases,c0008377_cholesterol,c0011991_diarrhoea,c0011382_dental_occlusion,c0009806_constipation,c0008350_cholelithiasis
71,c0009566_complication,c0008947_clindamycin,c0012155_diet,c0011980_respiratory_diaphragm,c0009924_contrast_media,c0008809_ciprofloxacin
72,c0009676_disorientation,c0009014_clonidine,c0012306_hydromorphone,c0012222_diffusion,c0010038_reduction_of_corneal_clarity,c0008947_clindamycin
73,c0009806_constipation,c0009170_cocaine,c0012359_pathological_dilatation,c0012265_digoxin,c0010280_craniotomy,c0009074_clotrimazole
